data,ora,email,scuole,comuni,distanza_km,esito,id_messaggio,nota
2026-09-17,14:39,test-l4twja837@srv1.mail-tester.com,,,,prova,1a0af61289790bb6,email di prova
2026-09-17,14:40,ema.boccia02@gmail.com,,,,prova,1a0af6196ee637f9,email di prova
2026-09-17,14:43,lascuoladialice@libero.it,La Scuola Di Alice Sas Impresa Sociale,Poggiomarino,0.0,rimbalzata,1a0af64c70f0cc9b,"testo vecchio, coi prezzi e il link al video: invio fermato dopo questa · rimbalzata: libero.it risponde che l'indirizzo non esiste"
2026-09-17,14:49,ema.boccia02@gmail.com,,,,prova,1a0af6a9f63e1494,email di prova
2026-09-17,15:08,lasirenettascuola@gmail.com,La Sirenetta Sas Di Boccia Raffaele Impresa Social,Poggiomarino,0.0,inviata,1a0af7be95770e8a,
2026-09-17,15:11,naee15800g@istruzione.it,NAEE15800G · Poggiomarino Tortorelle,Poggiomarino,0.0,inviata,1a0af7ebaa8581d8,
2026-09-17,15:14,naic863004@istruzione.it,Ic E De Filippo,Poggiomarino,0.0,inviata,1a0af811fd58c68d,
2026-09-17,15:17,naic8f9003@istruzione.it,Poggiomarino I Ic Via Roma,Poggiomarino,0.0,inviata,1a0af83f91e6c9fb,
2026-09-17,15:20,naic855005@istruzione.it,Scuola Infanzia · Scuola Infanzia,Striano,3.5,inviata,1a0af8680634673c,
2026-09-17,15:23,direttrice.terzigno@fma-imr.it,Ente Religioso Maria Ss Immacolata,Terzigno,3.7,rimbalzata,1a0af8919181f970,rimbalzata: casella disattivata
2026-09-17,15:25,naee18700g@istruzione.it,Terzigno Boccia Al Mauro · Terzigno Capoluogo · Terzigno Palazzo Allocca · Terzigno Rosamiranda · Terzigno Viale Bifulco,Terzigno,3.7,inviata,1a0af8b4e3b969c5,
2026-09-17,15:28,naic8c3008@istruzione.it,Terzigno Ic Giusti Santonio,Terzigno,3.7,inviata,1a0af8e2a8d7451b,
2026-09-17,15:30,scuolafantasylandia@alice.it,Associazione Fantasylandia,Terzigno,3.7,rimbalzata,1a0af90361ebad18,rimbalzata: alice.it risponde che l'indirizzo non esiste
2026-09-17,15:33,cristoreportici@libero.it,Ente Religioso Piccole Ancelle Di Cristo Re,San Giuseppe Vesuviano,4.2,inviata,1a0af9283ffd86b9,
2026-09-17,15:36,i.cuccioli@libero.it,I Cuccioli Associazione,San Giuseppe Vesuviano,4.2,inviata,1a0af9558467d014,
2026-09-17,15:39,lascuoladelbambino@libero.it,Ente Religioso La Scuola Del Bambino,San Giuseppe Vesuviano,4.2,inviata,1a0af979e7469bea,
2026-09-17,15:42,madsmads@virgilio.it,Fate E Folletti Srl Impresa Sociale,San Giuseppe Vesuviano,4.2,inviata,1a0af9a54ad4c236,
2026-09-17,15:44,naee177001@istruzione.it,San Giuseppe Vesi Ceschelli · San Giuseppe Vesi Rione Ionna · San Giuseppe Vesi Rione Ionna · Via Ceci,San Giuseppe Vesuviano,4.2,inviata,1a0af9c9e241ba63,
2026-09-17,15:47,naee17800r@istruzione.it,San Giuseppe Ii Caramagni · San Giuseppe Ii Rione Mattiuli · San Giuseppe Ii Rione Nappi · Sgiuseppe Iis Maria La Scala · Sgiuseppe V Scopari Catapano,San Giuseppe Vesuviano,4.2,inviata,1a0af9f41a2138ab,
2026-09-17,15:50,naic8fj00c@istruzione.it,San Giuseppe Ves Pace,San Giuseppe Vesuviano,4.2,inviata,1a0afa1e1a49b652,
2026-09-17,15:52,primoincontro1969@libero.it,Primo Incontro Di Raggio Rosa C Sas Impresa Social,San Giuseppe Vesuviano,4.2,inviata,1a0afa3ff3edf119,
2026-09-17,15:54,scuola.infanzialascala@virgilio.it,Santa Maria La Scala Fondazione Monsguerino Bosson,San Giuseppe Vesuviano,4.2,inviata,1a0afa62f460eb48,
2026-09-17,15:58,saic8a900c@istruzione.it,Ccollodi · Ssgiovanni Paolo Ii,San Marzano Sul Sarno,5.1,inviata,1a0afa8f9fe927dc,
