codice,tipo,nome,istituto,comune,provincia,indirizzo,telefono,email,email_utilizzabile,sito,alunni,distanza_km,minuti_auto
NAAA15801B,infanzia statale,Dante Alighieri,2° Circolo Didattico,Poggiomarino,NA,"Via G. Iervolino, 80040 Poggiomarino (NA)",081 3381043,naee15800g@istruzione.it,sì,https://www.secondocircolopoggiomarino.edu.it,151,0.9,2
NAAA15802C,infanzia statale,Tortorelle,2° Circolo Didattico,Poggiomarino,NA,"Via G. Iervolino 335, 80040 Poggiomarino (NA)",081 8651167,naee15800g@istruzione.it,sì,https://www.secondocircolopoggiomarino.edu.it,76,0.9,2
NAEE15808X,primaria statale,Flocco,2° Circolo Didattico,Poggiomarino,NA,"Piazza SS. Rosario, 80040 Poggiomarino (NA)",081 8651315,naee15800g@istruzione.it,sì,https://www.secondocircolopoggiomarino.edu.it,104,0.9,2
NAEE15803P,primaria statale,Miranda,2° Circolo Didattico,Poggiomarino,NA,"Via G. Iervolino, 80040 Poggiomarino (NA)",081 3381043,naee15800g@istruzione.it,sì,https://www.secondocircolopoggiomarino.edu.it,279,0.9,2
NAEE15801L,primaria statale,Tortorelle,2° Circolo Didattico,Poggiomarino,NA,"Via Iervolino 65, 80040 Poggiomarino (NA)",081 8651167,naee15800g@istruzione.it,sì,https://www.secondocircolopoggiomarino.edu.it,175,0.9,2
NAAA8F901X,infanzia statale,Via Roma,IC 1 Capoluogo,Poggiomarino,NA,"Via Roma 38, 80040 Poggiomarino (NA)",081 8651166,naic8f9003@istruzione.it,sì,https://www.ic1capoluogopoggiomarino.edu.it,138,0.9,2
NAEE8F9015,primaria statale,Giovanni Falcone,IC 1 Capoluogo,Poggiomarino,NA,"Via Roma, 80040 Poggiomarino (NA)",,naic8f9003@istruzione.it,sì,https://www.ic1capoluogopoggiomarino.edu.it,383,0.9,2
NAAA863011,infanzia statale,Via Nuova San Marzano,IC Eduardo De Filippo,Poggiomarino,NA,"Via Nuova San Marzano 2, 80040 Poggiomarino (NA)",081 5281103,naic863004@istruzione.it,sì,https://www.icdefilippopoggiomarino.edu.it,127,0.9,2
NAEE863016,primaria statale,Via Nuova San Marzano,IC Eduardo De Filippo,Poggiomarino,NA,"Via Nuova San Marzano 2, 80040 Poggiomarino (NA)",081 5281103,naic863004@istruzione.it,sì,https://www.icdefilippopoggiomarino.edu.it,354,0.9,2
NA1A0E500U,infanzia paritaria,Il Nido della Maestra Maria Teresa Forno,,Poggiomarino,NA,"Via R. Vastola 55, 80040 Poggiomarino (NA)",081 3381068,mtforno@libero.it,no: indirizzo personale,,24,0.9,2
